Date,Temperature
2002,51.97
2003,51.67
2004,37.37
2005,39.67
2006,43.78
2007,38.67
2008,31.69
2009,34.14
2010,37.02
2011,36.22
2012,40.82
2013,44.97
2014,41.87
2015,40.87
